,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
132,0.418948532195327,1.9089909801799352,13200.0,-6195205.708251487,1337022.839998128,4751726.846785709,-6195205.708251487,1337022.839998128,4751726.846785709
133,0.3691313121107349,2.0816633600514933,13300.0,-6507683.311512234,798681.3098219954,4428952.761096768,-6507683.311512234,798681.3098219954,4428952.761096768
134,0.2803599806833382,2.283804747609242,13400.0,-6767905.018084326,253929.32335138507,4070617.381470425,-6767905.018084326,253929.32335138507,4070617.381470425
135,0.1404599923889066,2.5152020928959944,13500.0,-6973566.777763667,-292866.6059029768,3679469.3336026985,-6973566.777763667,-292866.6059029768,3679469.3336026985
136,-0.04956844413730186,2.76875779186884,13600.0,-7122761.693735054,-837287.7297585332,3258530.7776251477,-7122761.693735054,-837287.7297585332,3258530.7776251477
137,-0.26104007583293776,3.030114172994501,13700.0,-7214000.372374045,-1374892.4004896944,2811081.702141554,-7214000.372374045,-1374892.4004896944,2811081.702141554
138,-0.45184222776897354,3.2828009228916164,13800.0,-7246229.793693554,-1901246.7999080839,2340642.0857924665,-7246229.793693554,-1901246.7999080839,2340642.0857924665
139,-0.5998575547347997,3.51532987918266,13900.0,-7218850.414934849,-2411957.0496389708,1850951.7752860212,-7218850.414934849,-2411957.0496389708,1850951.7752860212
140,-0.7071946903054335,3.7238942157898816,14000.0,-7131731.172946372,-2902702.6479204297,1345947.941203175,-7131731.172946372,-2902702.6479204297,1345947.941203175
141,-0.7844181592785187,3.910233565617794,14100.0,-6985222.018105677,-3369271.1009597178,829740.0260132795,-6985222.018105677,-3369271.1009597178,829740.0260132795
142,-0.84100316302536,4.07840391209738,14200.0,-6780163.492776565,-3807593.7727963612,306581.8861136647,-6780163.492776565,-3807593.7727963612,306581.8861136647
143,-0.8833842241968718,4.232676298243861,14300.0,-6517893.10723669,-4213782.196555129,-219158.3091430281,-6517893.10723669,-4213782.196555129,-219158.3091430281
144,-0.9155489107198341,4.376642766873061,14400.0,-6200247.748423355,-4584165.378606437,-743031.348198968,-6200247.748423355,-4584165.378606437,-743031.348198968
145,-0.9398996350426322,4.512993617971179,14500.0,-5829561.900448632,-4915326.989373189,-1260542.515945709,-5829561.900448632,-4915326.989373189,-1260542.515945709
146,-0.9578822175287385,4.6435691466188,14600.0,-5408661.111120579,-5204142.355409238,-1767189.6415903154,-5408661.111120579,-5204142.355409238,-1767189.6415903154
147,-0.9703825842373399,4.76949749259777,14700.0,-4940850.3442853475,-5447814.643677619,-2258503.294320644,-4940850.3442853475,-5447814.643677619,-2258503.294320644
148,-0.9779680640656231,4.891349120115273,14800.0,-4429896.5817600135,-5643909.7871146165,-2730089.068614823,-4429896.5817600135,-5643909.7871146165,-2730089.068614823
